Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link1,0.0013426,0.039792,0.026812,0,0,0,0.33397,0.00024438,-6.6594E-07,-2.7069E-07,0.00024672,-3.1449E-07,0.00036244,0,0,0,0,0,0,package://urdf_scara/meshes/link1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://urdf_scara/meshes/link1.STL,,Link1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link2,0.00021907,0.082554,0.015693,0,0,0,0.34183,0.00060122,-2.7584E-07,5.9216E-07,0.00031665,-2.0345E-06,0.00060053,0,0,0,0,0,0,package://urdf_scara/meshes/link2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://urdf_scara/meshes/link2.STL,,link2-1,Origin_joint1,Axis_joint1,joint1,continuous,0,0,0.0408,1.5708,0,-0.78304,link1,0,1,0,,,,,,,,,,,,
link3,-0.00011340300132002,0.03392958692366,0.0633738264867445,0,0,0,0.349496663604908,0.000408164923446136,-5.40305147548095E-07,-1.79824596486094E-06,0.000539132766649765,-8.69433052844277E-06,0.00015621201988452,0,0,0,0,0,0,package://urdf_scara/meshes/link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf_scara/meshes/link3.STL,,link3-6,Origin_joint2,Axis_joint2,joint2,prismatic,-4.5017E-05,0.17725,0.017,0,0,0,link2,0,1,0,0,0,0,0,,,,,,,,
link4,3.62912143247324E-05,-0.000974279742602335,-0.0572628869680065,0,0,0,0.132586772624035,0.000228708974879689,-2.43672549428385E-10,3.86056471496332E-09,0.000238850146879488,9.39543443533618E-06,2.12648162488211E-05,0,0,0,0,0,0,package://urdf_scara/meshes/link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf_scara/meshes/link4.STL,,link4-3,Origin_joint3,Axis_joint3,joint3,continuous,4.5017E-05,0,-0.067,0,-1.2013,0,link3,0,1,0,,,,,,,,,,,,
link5,-1.9831E-05,-0.0018816,0.047009,0,0,0,0.059264,6.5462E-05,-1.3662E-10,-5.7985E-10,6.8474E-05,-1.6609E-06,6.616E-06,0,0,0,0,0,0,package://urdf_scara/meshes/link5.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://urdf_scara/meshes/link5.STL,,link5-3,Origin_joint4,Axis_joint4,joint4,continuous,0,0,-0.1528,3.1416,0.39723,3.1416,link4,0,1,0,,,,,,,,,,,,
gripper,4.99742647991352E-06,-0.0289277190234936,-3.35221797764795E-07,0,0,0,0.0561550220430728,1.10651708813537E-05,1.72410506977288E-09,1.39810578286145E-10,1.41598237128112E-05,-1.15651071797977E-10,1.10656862676397E-05,0,0,0,0,0,0,package://urdf_scara/meshes/gripper.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf_scara/meshes/gripper.STL,,link6-2,Origin_join5,Axis_join5,join5,continuous,-3.6415E-05,0,0.15,0,-0.75998,0,link5,0,1,0,,,,,,,,,,,,
