target tetha2,robot tetha 2,target kecepatan tetha 2,robot keepatan tetha 2,target akselerasi tetha 2,robot percepatan tetha 2
0.12490113824605942,0.00342857139185071,0.7494,0.0206,0.0,0.0012
0.12763458490371704,0.00342857139185071,0.0164,0.0,-0.045,-0.0012
0.1304214894771576,0.00342857139185071,0.0167,0.0,-0.0037,0.0
0.13327538967132568,0.00342857139185071,0.0171,0.0,-0.0012,0.0
0.1361791044473648,0.00342857139185071,0.0174,0.0,-0.0011,0.0
0.13947440683841705,0.00342857139185071,0.0198,0.0,-0.0011,0.0
0.14226816594600677,0.00342857139185071,0.0168,0.0,-0.0013,0.0
0.14535170793533325,0.00342857139185071,0.0185,0.0,-0.0011,0.0
0.1485014259815216,0.00342857139185071,0.0189,0.0,-0.0012,0.0
0.15178436040878296,0.00342857139185071,0.0197,0.0,-0.0012,0.0
0.155109703540802,0.00342857139185071,0.02,0.0,-0.0013,0.0
0.15856295824050903,0.00342857139185071,0.0207,0.0,-0.0013,0.0
0.1619914472103119,0.00342857139185071,0.0206,0.0,-0.0013,0.0
0.16561435163021088,0.00342857139185071,0.0217,0.0,-0.0013,0.0
0.16917021572589874,0.00342857139185071,0.0213,0.0,-0.0014,0.0
0.17288604378700256,0.00342857139185071,0.0223,0.0,-0.0014,0.0
0.17750702798366547,0.00342857139185071,0.0277,0.0,-0.0014,0.0
0.18056243658065796,0.00342857139185071,0.0183,0.0,-0.0017,0.0
0.18454909324645996,0.00342857139185071,0.0239,0.0,-0.0012,0.0
0.18868407607078552,0.00342857139185071,0.0248,0.0,-0.0015,0.0
0.1927710622549057,0.00342857139185071,0.0245,0.0,-0.0016,0.0
0.1970209926366806,0.00342857139185071,0.0255,0.0,-0.0016,0.0
0.20139682292938232,0.00342857139185071,0.0263,0.0,-0.0016,0.0
0.2058112621307373,0.00342857139185071,0.0265,0.0,-0.0017,0.0
0.21041065454483032,0.00342857139185071,0.0276,0.0,-0.0017,0.0
0.21498297154903412,0.00342857139185071,0.0274,0.0,-0.0018,0.0
0.21973268687725067,0.00342857139185071,0.0285,0.0,-0.0018,0.0
0.224563866853714,0.00342857139185071,0.029,0.0,-0.0018,0.0
0.22953316569328308,0.00342857139185071,0.0298,0.0,-0.0018,0.0
0.2345898598432541,0.00342857139185071,0.0303,0.0,-0.0019,0.0
0.23978042602539062,0.00342857139185071,0.0311,0.0,-0.0019,0.0
0.2450653612613678,0.00342857139185071,0.0317,0.0,-0.002,0.0
0.2504982650279999,0.00342857139185071,0.0326,0.0,-0.002,0.0
0.25605183839797974,0.00342857139185071,0.0333,0.0,-0.0021,0.0
0.26168984174728394,0.00342857139185071,0.0338,0.0,-0.0021,0.0
0.2674832344055176,0.00342857139185071,0.0348,0.0,-0.0022,0.0
0.27342459559440613,0.00342857139185071,0.0356,0.0,-0.0022,0.0
0.2794550955295563,0.00342857139185071,0.0362,0.0,-0.0023,0.0
0.28567826747894287,0.00342857139185071,0.0373,0.0,-0.0023,0.0
0.2919849455356598,0.00342857139185071,0.0378,0.0,-0.0024,0.0
0.2984374165534973,0.00342857139185071,0.0387,0.0,-0.0024,0.0
0.305051326751709,0.00342857139185071,0.0397,0.0,-0.0025,0.0
0.31182095408439636,0.00342857139185071,0.0406,0.0,-0.0025,0.0
0.31872859597206116,0.00342857139185071,0.0414,0.0,-0.0026,0.0
0.32584333419799805,0.04114285856485367,0.0427,0.2263,-0.0026,0.0136
0.3331414461135864,0.08228571712970734,0.0438,0.2469,-0.0027,0.0012
0.34043022990226746,0.08228571712970734,0.0437,0.0,-0.0028,-0.0148
0.34797948598861694,0.08228571712970734,0.0453,0.0,-0.0028,0.0
0.3557053804397583,0.08228571712970734,0.0464,0.0,-0.0029,0.0
0.36360275745391846,0.08228571712970734,0.0474,0.0,-0.003,0.0
0.37164464592933655,0.08228571712970734,0.0483,0.0,-0.003,0.0
0.3798729479312897,0.08228571712970734,0.0494,0.0,-0.0031,0.0
0.38833171129226685,0.08228571712970734,0.0508,0.0,-0.0032,0.0
0.39693763852119446,0.08228571712970734,0.0516,0.0,-0.0032,0.0
0.40577423572540283,0.11999999731779099,0.053,0.2263,-0.0033,0.0136
0.4147722125053406,0.12342856824398041,0.054,0.0206,-0.0034,-0.0123
0.42397642135620117,0.16457143425941467,0.0552,0.2469,-0.0034,0.0136
0.43339648842811584,0.16457143425941467,0.0565,0.0,-0.0035,-0.0148
