pos.target.x,pos.robot.x,pos.target.y,pos.robot.y,pos.target.z,pos.robot.z,vel.target.x,vel.robot.x,vel.target.y,vel.robot.y,vel.target.z,vel.robot.z
-0.28402658861308333,-0.28402658861308333,372.5998460189298,372.5998460189298,-0.0028571428265422583,-0.0028571428265422583,1.7042277007865314,1.7042277007865314,2235.6885036537246,2235.6885036537246,0.01714354270096159,0.01714354270096159
-0.28402658861308333,-0.28402658861308333,372.5998460189298,372.5998460189298,-0.0028571428265422583,-0.0028571428265422583,0.0,0.0,0.0,0.0,0.0,0.0
-0.2287728964057761,-0.2287728964057761,372.59990831481025,372.59990831481025,0.0,0.0,0.33153541466042974,0.33153541466042974,0.00037379023441950603,0.00037379023441950603,0.01714354270096159,0.01714354270096159
-0.21676989217499798,-0.21676989217499798,372.5999369441893,372.5999369441893,-0.0028571428265422583,-0.0028571428265422583,0.07202090622091763,0.07202090622091763,0.00017178314576781221,0.00017178314576781221,0.01714354270096159,0.01714354270096159
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,1.300671379905184,1.300671379905184,0.00037834999785343854,0.00037834999785343854,0.01714354270096159,0.01714354270096159
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,372.59999999999997,372.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
