target tetha 1,target tetha 2,target tetha 3,target tetha 4,robot tetha 1,robot tetha 2,robot tetha 3,robot tetha 4,target kecepatan tetha1,target kecepatan tetha2,target kecepatan tetha3,target kecepatan tetha4,robot kecepatan tetha 1,robot kecepatan tetha 2,robot kecepatan tetha 3,robot kecepatan tetha 4,target percepatan tetha 1,target percepatan tetha 2,target percepatan tetha 3,target percepatan tetha 4,robot percepatan tetha 1,robot percepatan tetha 2,robot percepatan tetha 3,robot percepatan tetha 4
0.30383622646331787,0.0005932585336267948,-52.74808120727539,106.88361358642578,0.4333333373069763,0.20571428537368774,-52.79999923706055,106.98603820800781,1.8231,0.0036,-316.5011,641.3273,2.6001,1.2343,-316.8127,641.9419,0.0,0.0,0.0,0.0,0.156,0.0741,-19.0095,38.5181
0.00212577311322093,1.3623568939635788e-09,-52.74518966674805,106.8808364868164,0.4333333373069763,0.20571428537368774,-52.79999923706055,106.98603820800781,-1.8103,-0.0036,0.0173,-0.0167,0.0,0.0,0.0,0.0,-0.1094,-0.0002,18.9908,-38.4812,-0.156,-0.0741,19.0095,-38.5181
4.427650310390163e-06,3.0253577421035516e-15,-52.742130279541016,106.87798309326172,0.4333333373069763,0.20571428537368774,-52.79999923706055,106.98603820800781,-0.0127,-0.0,0.0184,-0.0171,0.0,0.0,0.0,0.0,0.1021,0.0002,1.1385,-2.308,0.0,0.0,0.0,0.0
9.215094465275797e-09,0.0,-52.73889923095703,106.87504577636719,0.4333333373069763,0.20571428537368774,-52.79999923706055,106.98603820800781,-0.0,-0.0,0.0194,-0.0176,0.0,0.0,0.0,0.0,0.0069,0.0,0.0672,-0.1375,0.0,0.0,0.0,0.0
1.9101276116373356e-11,0.0,-52.73548889160156,106.87203216552734,0.4333333373069763,0.20571428537368774,-52.79999923706055,106.98603820800781,-0.0,0.0,0.0205,-0.0181,0.0,0.0,0.0,0.0,0.0004,0.0,0.0029,-0.0072,0.0,0.0,0.0,0.0
4.3021142204224816e-14,0.0,-52.731937408447266,106.86897277832031,0.4333333373069763,0.20571428537368774,-52.79999923706055,106.98603820800781,-0.0,0.0,0.0213,-0.0184,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011,0.0007,0.0,0.0,0.0,0.0
1.1102230246251565e-16,0.0,-52.72815704345703,106.86580657958984,0.4333333373069763,0.20571428537368774,-52.79999923706055,106.98603820800781,-0.0,0.0,0.0227,-0.019,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013,0.0011,0.0,0.0,0.0,0.0
0.0,0.0,-52.724159240722656,106.86255645751953,0.03333333507180214,0.20571428537368774,-52.79999923706055,107.00718688964844,-0.0,0.0,0.024,-0.0195,-2.4001,0.0,0.0,0.1269,0.0,0.0,-0.0014,0.0012,-0.144,0.0,0.0,0.0076
0.0,0.0,-52.71994400024414,106.85921478271484,0.03333333507180214,0.20571428537368774,-52.79999923706055,107.00718688964844,0.0,0.0,0.0253,-0.0201,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015,0.0012,0.144,0.0,0.0,-0.0076
0.0,0.0,-52.71549987792969,106.85578155517578,-0.03333333507180214,0.20571428537368774,-52.79999923706055,106.98603820800781,0.0,0.0,0.0267,-0.0206,-0.4,0.0,0.0,-0.1269,0.0,0.0,-0.0016,0.0013,-0.024,0.0,0.0,-0.0076
