target tetha 1,target tetha 2,target tetha 3,target tetha 4,robot tetha 1,robot tetha 2,robot tetha 3,robot tetha 4,target kecepatan tetha1,target kecepatan tetha2,target kecepatan tetha3,target kecepatan tetha4,robot kecepatan tetha 1,robot kecepatan tetha 2,robot kecepatan tetha 3,robot kecepatan tetha 4,target percepatan tetha 1,target percepatan tetha 2,target percepatan tetha 3,target percepatan tetha 4,robot percepatan tetha 1,robot percepatan tetha 2,robot percepatan tetha 3,robot percepatan tetha 4
-0.020244240760803223,119.45736694335938,-52.65118408203125,106.97318267822266,-0.06666667014360428,119.57828521728516,-52.66849136352539,107.00718688964844,-0.1215,716.7729,-315.9197,641.8648,-0.4,717.4984,-316.0236,642.0688,0.0,0.0,0.0,0.0,-0.024,43.0516,-18.9622,38.5257
-0.017401348799467087,119.45462799072266,-52.64801025390625,106.97027587890625,-0.06666667014360428,119.57828521728516,-52.66849136352539,107.00718688964844,0.0171,-0.0164,0.019,-0.0174,0.0,0.0,0.0,0.0,0.0073,-43.0081,18.9559,-38.5134,0.024,-43.0516,18.9622,-38.5257
-0.01440515648573637,119.45184326171875,-52.644283294677734,106.9671401977539,-0.06666667014360428,119.57828521728516,-52.66849136352539,107.00718688964844,0.018,-0.0167,0.0224,-0.0188,0.0,0.0,0.0,0.0,-0.0006,-2.5796,1.1363,-2.3099,0.0,0.0,0.0,0.0
-0.011219983920454979,119.44898986816406,-52.63987350463867,106.96373748779297,-0.06666667014360428,119.57828521728516,-52.66849136352539,107.00718688964844,0.0191,-0.0171,0.0265,-0.0204,0.0,0.0,0.0,0.0,-0.0011,-0.1538,0.0668,-0.1375,0.0,0.0,0.0,0.0
-0.00785814318805933,119.44609069824219,-52.63468551635742,106.96005249023438,-0.06666667014360428,119.57828521728516,-52.66849136352539,107.00718688964844,0.0202,-0.0174,0.0311,-0.0221,0.0,0.0,0.0,0.0,-0.0012,-0.0082,0.0024,-0.007,0.0,0.0,0.0,0.0
-0.0042710755951702595,119.44310760498047,-52.62852096557617,106.95603942871094,-0.06666667014360428,119.57828521728516,-52.66849136352539,107.00718688964844,0.0215,-0.0179,0.037,-0.0241,0.0,0.0,0.0,0.0,-0.0013,0.0006,-0.0017,0.0009,0.0,0.0,0.0,0.0
-0.00048293411964550614,119.44007110595703,-52.621273040771484,106.95170593261719,-0.06666667014360428,119.57828521728516,-52.66849136352539,107.00718688964844,0.0227,-0.0182,0.0435,-0.026,0.0,0.0,0.0,0.0,-0.0014,0.0011,-0.0023,0.0015,0.0,0.0,0.0,0.0
0.003556729294359684,119.43694305419922,-52.61266326904297,106.94697570800781,-0.06666667014360428,119.57828521728516,-52.66849136352539,107.00718688964844,0.0242,-0.0188,0.0517,-0.0284,0.0,0.0,0.0,0.0,-0.0014,0.0012,-0.0027,0.0017,0.0,0.0,0.0,0.0
0.007810952141880989,119.43377685546875,-52.602569580078125,106.94188690185547,-0.06666667014360428,119.57828521728516,-52.66849136352539,107.00718688964844,0.0255,-0.019,0.0606,-0.0305,0.0,0.0,0.0,0.0,-0.0015,0.0012,-0.0033,0.0018,0.0,0.0,0.0,0.0
0.012368314899504185,119.43050384521484,-52.59053039550781,106.9363021850586,-0.06666667014360428,119.57828521728516,-52.66849136352539,107.00718688964844,0.0273,-0.0196,0.0722,-0.0335,0.0,0.0,0.0,0.0,-0.0016,0.0012,-0.0038,0.0019,0.0,0.0,0.0,0.0
0.017159326002001762,119.42718505859375,-52.57645034790039,106.93030548095703,-0.06666667014360428,119.57828521728516,-52.66849136352539,107.00718688964844,0.0287,-0.0199,0.0845,-0.036,0.0,0.0,0.0,0.0,-0.0017,0.0012,-0.0046,0.0021,0.0,0.0,0.0,0.0
0.02227797731757164,119.42377471923828,-52.55970764160156,106.92375183105469,-0.06666667014360428,119.57828521728516,-52.66849136352539,107.00718688964844,0.0307,-0.0205,0.1005,-0.0393,0.0,0.0,0.0,0.0,-0.0018,0.0013,-0.0053,0.0023,0.0,0.0,0.0,0.0
0.027696892619132996,119.4202880859375,-52.53999328613281,106.91666412353516,-0.06666667014360428,119.57828521728516,-52.66849136352539,107.00718688964844,0.0325,-0.0209,0.1183,-0.0425,0.0,0.0,0.0,0.0,-0.002,0.0013,-0.0063,0.0025,0.0,0.0,0.0,0.0
