Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link1,0.00134256641145745,0.0268120790873557,-0.0397924813753879,0,0,0,0.333965027627055,0.00024437961424315,-2.70691571933329E-07,6.65938217240934E-07,0.000362442658167423,3.14489465239985E-07,0.000246720965790898,0,0,0,0,0,0,package://scara4/meshes/link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://scara4/meshes/link1.STL,,Link1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link2,0.000219070401410481,0.082554065645283,0.0156932502112004,0,0,0,0.341833276422222,0.000601222703206643,-2.75837561186006E-07,5.92153662104969E-07,0.000316649240889944,-2.03450902493644E-06,0.00060053198390385,0,0,0,0,0,0,package://scara4/meshes/link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://scara4/meshes/link2.STL,,link2-1,Origin_joint12,Axis_joint12,joint1,continuous,0,0,0.0408,1.5708,0,3.1416,link1,0,1,0,,,,,,,,,,,,
link3,-0.000113401252194737,0.0339295858638425,0.0633738369323234,0,0,0,0.349496704950288,0.000408165235585055,-5.40308089541596E-07,-1.79850928558629E-06,0.000539133104321668,-8.69432622399406E-06,0.000156212046475738,0,0,0,0,0,0,package://scara4/meshes/link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://scara4/meshes/link3.STL,,link3-6,Origin_joint22,Axis_joint22,joint2,prismatic,-4.5017E-05,0.097592,0.017,0,0,0,link2,0,1,0,0,0,0,0,,,,,,,,
link4,3.62903793402024E-05,-0.000974279847565318,-0.0572628879918167,0,0,0,0.132586780122943,0.000228708978235185,-2.42790930369713E-10,3.85879878036558E-09,0.000238850149148551,9.39543532374007E-06,2.12648166568431E-05,0,0,0,0,0,0,package://scara4/meshes/link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://scara4/meshes/link4.STL,,link4-3,Origin_joint32,Axis_joint32,joint3,continuous,4.5017E-05,0,-0.067,0,0,0,link3,0,1,0,,,,,,,,,,,,
link5,-2.31815511669881E-05,-0.00188155161511602,0.0470091350705414,0,0,0,0.0592642341472502,6.54622289057525E-05,-1.36790778528406E-10,-5.80273254623293E-10,6.84736651755936E-05,-1.66089791588376E-06,6.61596593344095E-06,0,0,0,0,0,0,package://scara4/meshes/link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://scara4/meshes/link5.STL,,link5-3,Origin_joint42,Axis_joint42,joint4,continuous,0,0,-0.1528,3.1416,0,3.1416,link4,0,1,0,,,,,,,,,,,,
